origin,credit_line,birth_year,death_year,audio_url,nationality,dates,name,title,technique,ac_id,image_url,dimension
"Made in United States, North and Central America","The Collection of Edgar William and Bernice Chrysler Garbisch, 1965",0,0,,American,1850,Artist/maker unknown,"""He That Tilleth His Land Shall Be Satisfied""",Oil on wood panel,1965-209-5,http://www.philamuseum.org/images/cad/large/1965-209-5-ov.jpg,"22 7/16 x 29 3/4 inches (57 x 75.6 cm)
Framed: 26 3/8 x 33 5/8 x 2 inches (67 x 85.4 x 5.1 cm)"
"Made in United States, North and Central America","The Alex Simpson, Jr., Collection, 1946",1860,1932,,American,1900,Julius Gari Melchers,Baptism (Church Interior),Oil on canvas,1946-5-1,http://www.philamuseum.org/images/cad/large/1946-5-1-nyd.jpg,43 1/2 x 33 3/16 inches (110.5 x 84.3 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1929",1844,1916,http://www.philamuseum.org/audio/collections/historicAmericaFamilyTour/694.mp3,American,1898,Thomas Eakins,Between Rounds,Oil on canvas,1929-184-16,http://www.philamuseum.org/images/cad/large/1929-184-16after-CX.jpg,50 1/8 x 39 7/8 inches (127.3 x 101.3 cm)
"Made in United States, North and Central America","Gift of Marguerite and Gerry Lenfest, 2008",1858,1937,,American,1901,Warren Sheppard,Antrim Coastline,Oil on canvas,2008-124-2,http://www.philamuseum.org/images/cad/large/2008-124-2-pma.jpg,20 x 30 inches (50.8 x 76.2 cm)
"Made in United States, North and Central America","Gift of Mrs. John Wintersteen in memory of John Wintersteen, 1953",1824,1906,,American,1878,Eastman Johnson,Barn Swallows,Oil on canvas,1953-111-1,http://www.philamuseum.org/images/cad/large/1953-111-1-CX.jpg,27 3/16 x 22 3/16 inches (69.1 x 56.4 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1929",1844,1916,,American,1900,Thomas Eakins,Antiquated Music (Portrait of Sarah Sagehorn Frishmuth),Oil on canvas,1929-184-7,http://www.philamuseum.org/images/cad/large/1929-184-7-CX.jpg,97 x 72 inches (246.4 x 182.9 cm)
"Made in United States, North and Central America","Gift of R. Sturgis and Marion B. F. Ingersoll, 1941",1871,1951,,American,1940,John Sloan,Arachne,Tempera glazed with oil on Masonite,1941-103-3,http://www.philamuseum.org/images/cad/large/1941-103-3-nyd.jpg,27 15/16 x 26 inches (71 x 66 cm)
"Made in United States, North and Central America","Purchased with the Edgar Viguers Seeler Fund, 1965",1784,1861,,American,1823,Bass Otis,"Annette Savage and her daughters, Charlotte & Pauline",Oil on canvas,1965-48-1,http://www.philamuseum.org/images/cad/large/1965-48-1.jpg,66 3/8 x 50 1/4 inches (168.6 x 127.6 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1929",1844,1916,,American,1903,Thomas Eakins,An Actress (Portrait of Suzanne Santje),Oil on canvas,1929-184-23,http://www.philamuseum.org/images/cad/large/1929-184-23-sl.jpg,79 3/4 x 59 7/8 inches (202.6 x 152.1 cm)
"Made in United States, North and Central America","Partial and promised gift of Charles K. Williams, II, 2004",0,0,,American(activeLondon,1910,John Singer Sargent,A Waterfall,Oil on canvas,2004-5-1,http://www.philamuseum.org/images/cad/large/2004-5-1.jpg,"44 1/2 x 28 1/2 inches (113 x 72.4 cm)
Framed: 55 1/2 x 39 inches (141 x 99.1 cm)"
